INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
73,1,FIXED,2018/3/22,0:21:28,2018/3/21,21:21:28,200,26.316826,S,48.833749,W,7.942449,0.160086,74.352250,0.000000,0.000000,0.000000
74,1,FIXED,2018/3/22,0:21:33,2018/3/21,21:21:33,200,26.316825,S,48.833748,W,7.669564,0.103657,49.264698,0.000000,0.000000,0.000000
75,1,FIXED,2018/3/22,0:21:38,2018/3/21,21:21:38,200,26.316824,S,48.833746,W,7.261878,0.437429,330.817161,0.000000,0.000000,0.000000
76,1,FIXED,2018/3/22,0:21:43,2018/3/21,21:21:43,200,26.316821,S,48.833749,W,6.824792,0.548376,342.043514,0.000000,0.000000,0.000000
77,1,FIXED,2018/3/22,0:21:48,2018/3/21,21:21:48,200,26.316816,S,48.833750,W,6.364080,0.252651,303.883668,0.000000,0.000000,0.000000
78,1,FIXED,2018/3/22,0:21:53,2018/3/21,21:21:53,200,26.316813,S,48.833755,W,5.803776,0.484655,295.264202,0.000000,0.000000,0.000000
79,1,FIXED,2018/3/22,0:21:58,2018/3/21,21:21:58,200,26.316810,S,48.833761,W,4.978585,0.480687,278.649383,0.000000,0.000000,0.000000
80,1,FIXED,2018/3/22,0:22:3,2018/3/21,21:22:3,200,26.316810,S,48.833767,W,4.172506,0.546675,276.116079,0.000000,0.000000,0.000000
81,1,FIXED,2018/3/22,0:22:8,2018/3/21,21:22:8,200,26.316809,S,48.833774,W,3.290102,0.661605,285.688662,0.000000,0.000000,0.000000
82,1,FIXED,2018/3/22,0:22:13,2018/3/21,21:22:13,200,26.316807,S,48.833781,W,2.312943,0.383165,0.417591,0.000000,0.000000,0.000000
83,1,FIXED,2018/3/22,0:22:18,2018/3/21,21:22:18,200,26.316805,S,48.833781,W,1.189645,0.192213,182.287784,0.000000,0.000000,0.000000
84,1,FIXED,2018/3/22,0:22:23,2018/3/21,21:22:23,200,26.316811,S,48.833782,W,-0.019467,0.569345,182.059156,0.000000,0.000000,0.000000
85,1,FIXED,2018/3/22,0:22:28,2018/3/21,21:22:28,200,26.316817,S,48.833782,W,-1.272638,0.507314,165.089256,0.000000,0.000000,0.000000
86,1,FIXED,2018/3/22,0:22:33,2018/3/21,21:22:33,200,26.316823,S,48.833780,W,-2.437286,0.467275,186.540753,0.000000,0.000000,0.000000
87,1,FIXED,2018/3/22,0:22:38,2018/3/21,21:22:38,200,26.316829,S,48.833781,W,-3.487964,0.470293,236.813080,0.000000,0.000000,0.000000
88,1,FIXED,2018/3/22,0:22:43,2018/3/21,21:22:43,200,26.316831,S,48.833785,W,-4.648780,0.269197,280.922374,0.000000,0.000000,0.000000
89,1,FIXED,2018/3/22,0:22:48,2018/3/21,21:22:48,200,26.316830,S,48.833790,W,-5.995534,0.433370,271.266642,0.000000,0.000000,0.000000
90,1,FIXED,2018/3/22,0:22:53,2018/3/21,21:22:53,200,26.316830,S,48.833797,W,-7.348685,0.606246,268.240996,0.000000,0.000000,0.000000
91,1,FIXED,2018/3/22,0:22:58,2018/3/21,21:22:58,200,26.316830,S,48.833800,W,-8.815299,0.233482,216.172075,0.000000,0.000000,0.000000
92,1,FIXED,2018/3/22,0:23:3,2018/3/21,21:23:3,200,26.316834,S,48.833803,W,-10.364155,0.539267,237.664864,0.000000,0.000000,0.000000
93,1,FIXED,2018/3/22,0:23:8,2018/3/21,21:23:8,200,26.316838,S,48.833810,W,-12.143775,0.468734,265.885863,0.000000,0.000000,0.000000
94,1,FIXED,2018/3/22,0:23:13,2018/3/21,21:23:13,200,26.316838,S,48.833817,W,-14.248795,0.570127,260.862289,0.000000,0.000000,0.000000
95,1,FIXED,2018/3/22,0:23:18,2018/3/21,21:23:18,200,26.316839,S,48.833824,W,-16.677673,0.722704,218.218566,0.000000,0.000000,0.000000
96,1,FIXED,2018/3/22,0:23:23,2018/3/21,21:23:23,200,26.316876,S,48.833856,W,-20.652157,0.746149,198.414653,0.000000,0.000000,0.000000
97,1,FIXED,2018/3/22,0:23:28,2018/3/21,21:23:28,200,26.316886,S,48.833860,W,-23.927629,0.672151,228.090705,0.000000,0.000000,0.000000
98,1,FIXED,2018/3/22,0:23:33,2018/3/21,21:23:33,200,26.316891,S,48.833867,W,-26.375689,0.700497,255.760120,0.000000,0.000000,0.000000
99,1,FIXED,2018/3/22,0:23:38,2018/3/21,21:23:38,200,26.316894,S,48.833878,W,-28.890654,0.709660,275.110648,0.000000,0.000000,0.000000
100,1,FIXED,2018/3/22,0:23:43,2018/3/21,21:23:43,200,26.316893,S,48.833885,W,-31.232260,0.561237,290.657289,0.000000,0.000000,0.000000
101,1,FIXED,2018/3/22,0:23:48,2018/3/21,21:23:48,200,26.316891,S,48.833893,W,-33.418446,0.687943,316.894183,0.000000,0.000000,0.000000
102,1,FIXED,2018/3/22,0:23:53,2018/3/21,21:23:53,200,26.316885,S,48.833899,W,-35.507496,0.569946,307.437891,0.000000,0.000000,0.000000
103,1,FIXED,2018/3/22,0:23:58,2018/3/21,21:23:58,200,26.316879,S,48.833908,W,-37.357296,0.920763,308.178967,0.000000,0.000000,0.000000
104,1,FIXED,2018/3/22,0:24:3,2018/3/21,21:24:3,200,26.316872,S,48.833917,W,-39.136482,0.848817,298.510515,0.000000,0.000000,0.000000
105,1,FIXED,2018/3/22,0:24:8,2018/3/21,21:24:8,200,26.316871,S,48.833920,W,-40.848186,0.128156,221.748420,0.000000,0.000000,0.000000
106,1,FIXED,2018/3/22,0:24:13,2018/3/21,21:24:13,200,26.316872,S,48.833922,W,-42.559238,0.284133,239.478906,0.000000,0.000000,0.000000
107,1,FIXED,2018/3/22,0:24:18,2018/3/21,21:24:18,200,26.316874,S,48.833925,W,-44.276005,0.177302,331.851920,0.000000,0.000000,0.000000
